Question Number,Topic Name,Resources (Name + URL)
1,Solving Equations,"1) Khan Academy: https://www.khanacademy.org/math/algebra/x2f8bb11595b61c86:solve-equations-inequalities and https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-solving-equations, 2) Paul's Notes: https://tutorial.math.lamar.edu/classes/alg/solving.aspx, 3) Purple Math: https://www.purplemath.com/modules/solvelin.htm and https://www.purplemath.com/modules/solvrtnl.htm"
2,Solving Equations,"1) Khan Academy: https://www.khanacademy.org/math/algebra/x2f8bb11595b61c86:solve-equations-inequalities and https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-solving-equations, 2) Paul's Notes: https://tutorial.math.lamar.edu/classes/alg/solving.aspx, 3) Purple Math: https://www.purplemath.com/modules/solvelin.htm and https://www.purplemath.com/modules/solvrtnl.htm"
3,Multi-variable Algebraic Manipulation,"1) Khan Academy: https://www.khanacademy.org/math/algebra/x2f8bb11595b61c86:solve-equations-inequalities and https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-solving-equations and https://www.khanacademy.org/math/algebra/x2f8bb11595b61c86:systems-of-equations, 2) Paul's Notes: https://tutorial.math.lamar.edu/classes/alg/solving.aspx and https://tutorial.math.lamar.edu/Classes/Alg/Systems.aspx, 3) Purple Math: https://www.purplemath.com/modules/solvelin.htm and https://www.purplemath.com/modules/solvrtnl.htm"
4,Solving Equations,"1) Khan Academy: https://www.khanacademy.org/math/algebra/x2f8bb11595b61c86:solve-equations-inequalities and https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-solving-equations, 2) Paul's Notes: https://tutorial.math.lamar.edu/classes/alg/solving.aspx, 3) Purple Math: https://www.purplemath.com/modules/solvelin.htm and https://www.purplemath.com/modules/solvrtnl.htm"
5,Solving Equations,"1) Khan Academy: https://www.khanacademy.org/math/algebra/x2f8bb11595b61c86:solve-equations-inequalities and https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-solving-equations, 2) Paul's Notes: https://tutorial.math.lamar.edu/classes/alg/solving.aspx, 3) Purple Math: https://www.purplemath.com/modules/solvelin.htm and https://www.purplemath.com/modules/solvrtnl.htm"
6,Exponents/Scientific Notation,"1) Khan Academy: https://www.khanacademy.org/math/algebra/x2f8bb11595b61c86:rational-exponents-radicals and https://www.khanacademy.org/math/algebra-basics/alg-basics-expressions-with-exponents and https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/cc-6th-exponents/a/introduction-to-exponents and https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-numbers-operations/cc-8th-scientific-notation/e/scientific_notation?utm_account=Paid_GoogleAds&utm_campaignname=&utm_term=&utm_campaign=0526_KhanReimagined_Teachers_Pre-Launch_PMax&utm_source=adwords&utm_medium=ppc&hsa_acc=6941206222&hsa_cam=23864913054&hsa_grp=&hsa_ad=&hsa_src=x&hsa_tgt=&hsa_kw=&hsa_mt=&hsa_net=adwords&hsa_ver=3&gad_source=1&gad_campaignid=23864914977&gbraid=0AAAAADmu8nPs0257S-DrWIQA0mcHs90Sx&gclid=EAIaIQobChMI06GhhqfIlQMVSWlHAR2K7hYSEAAYASAAEgLjaPD_BwE and https://www.khanacademy.org/math/8th-grade-illustrative-math/unit-7-exponents-and-scientific-notation, 2) Paul's Notes: https://tutorial.math.lamar.edu/classes/alg/integerexponents.aspx and https://tutorial.math.lamar.edu/classes/alg/rationalexponents.aspx, 3) Purple Math: https://www.purplemath.com/modules/exponent.htm and https://www.purplemath.com/modules/graphing/exponent.htm and https://www.purplemath.com/modules/graphing/exponent3.htm"
7,Exponents/Scientific Notation,"1) Khan Academy: https://www.khanacademy.org/math/algebra/x2f8bb11595b61c86:rational-exponents-radicals and https://www.khanacademy.org/math/algebra-basics/alg-basics-expressions-with-exponents and https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/cc-6th-exponents/a/introduction-to-exponents and https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-numbers-operations/cc-8th-scientific-notation/e/scientific_notation?utm_account=Paid_GoogleAds&utm_campaignname=&utm_term=&utm_campaign=0526_KhanReimagined_Teachers_Pre-Launch_PMax&utm_source=adwords&utm_medium=ppc&hsa_acc=6941206222&hsa_cam=23864913054&hsa_grp=&hsa_ad=&hsa_src=x&hsa_tgt=&hsa_kw=&hsa_mt=&hsa_net=adwords&hsa_ver=3&gad_source=1&gad_campaignid=23864914977&gbraid=0AAAAADmu8nPs0257S-DrWIQA0mcHs90Sx&gclid=EAIaIQobChMI06GhhqfIlQMVSWlHAR2K7hYSEAAYASAAEgLjaPD_BwE and https://www.khanacademy.org/math/8th-grade-illustrative-math/unit-7-exponents-and-scientific-notation, 2) Paul's Notes: https://tutorial.math.lamar.edu/classes/alg/integerexponents.aspx and https://tutorial.math.lamar.edu/classes/alg/rationalexponents.aspx, 3) Purple Math: https://www.purplemath.com/modules/exponent.htm and https://www.purplemath.com/modules/graphing/exponent.htm and https://www.purplemath.com/modules/graphing/exponent3.htm"
8,Exponents/Scientific Notation,"1) Khan Academy: https://www.khanacademy.org/math/algebra/x2f8bb11595b61c86:rational-exponents-radicals and https://www.khanacademy.org/math/algebra-basics/alg-basics-expressions-with-exponents and https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/cc-6th-exponents/a/introduction-to-exponents and https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-numbers-operations/cc-8th-scientific-notation/e/scientific_notation?utm_account=Paid_GoogleAds&utm_campaignname=&utm_term=&utm_campaign=0526_KhanReimagined_Teachers_Pre-Launch_PMax&utm_source=adwords&utm_medium=ppc&hsa_acc=6941206222&hsa_cam=23864913054&hsa_grp=&hsa_ad=&hsa_src=x&hsa_tgt=&hsa_kw=&hsa_mt=&hsa_net=adwords&hsa_ver=3&gad_source=1&gad_campaignid=23864914977&gbraid=0AAAAADmu8nPs0257S-DrWIQA0mcHs90Sx&gclid=EAIaIQobChMI06GhhqfIlQMVSWlHAR2K7hYSEAAYASAAEgLjaPD_BwE and https://www.khanacademy.org/math/8th-grade-illustrative-math/unit-7-exponents-and-scientific-notation, 2) Paul's Notes: https://tutorial.math.lamar.edu/classes/alg/integerexponents.aspx and https://tutorial.math.lamar.edu/classes/alg/rationalexponents.aspx, 3) Purple Math: https://www.purplemath.com/modules/exponent.htm and https://www.purplemath.com/modules/graphing/exponent.htm and https://www.purplemath.com/modules/graphing/exponent3.htm"
9,Unit Conversion,"1) Khan Academy: https://www.khanacademy.org/kmap/measurement-and-data-f/converting-units-of-measure and https://www.khanacademy.org/test-prep/v2-sat-math/x0fcc98a58ba3bea7:problem-solving-and-data-analysis-harder/x0fcc98a58ba3bea7:unit-conversion-harder/a/v2-sat-lesson-unit-conversion and https://www.khanacademy.org/math/cc-fifth-grade-math/imp-measurement-and-data-3/imp-unit-conversion/e/converting-units, 2) Purple Math: https://www.purplemath.com/modules/units2.htm and https://www.purplemath.com/modules/metric.htm and https://www.purplemath.com/modules/units.htm"
10,Unit Conversion,"1) Khan Academy: https://www.khanacademy.org/kmap/measurement-and-data-f/converting-units-of-measure and https://www.khanacademy.org/test-prep/v2-sat-math/x0fcc98a58ba3bea7:problem-solving-and-data-analysis-harder/x0fcc98a58ba3bea7:unit-conversion-harder/a/v2-sat-lesson-unit-conversion and https://www.khanacademy.org/math/cc-fifth-grade-math/imp-measurement-and-data-3/imp-unit-conversion/e/converting-units, 2) Purple Math: https://www.purplemath.com/modules/units2.htm and https://www.purplemath.com/modules/metric.htm and https://www.purplemath.com/modules/units.htm"
11,Unit Conversion,"1) Khan Academy: https://www.khanacademy.org/kmap/measurement-and-data-f/converting-units-of-measure and https://www.khanacademy.org/test-prep/v2-sat-math/x0fcc98a58ba3bea7:problem-solving-and-data-analysis-harder/x0fcc98a58ba3bea7:unit-conversion-harder/a/v2-sat-lesson-unit-conversion and https://www.khanacademy.org/math/cc-fifth-grade-math/imp-measurement-and-data-3/imp-unit-conversion/e/converting-units, 2) Purple Math: https://www.purplemath.com/modules/units2.htm and https://www.purplemath.com/modules/metric.htm and https://www.purplemath.com/modules/units.htm"
12,Unit Conversion,"1) Khan Academy: https://www.khanacademy.org/kmap/measurement-and-data-f/converting-units-of-measure and https://www.khanacademy.org/test-prep/v2-sat-math/x0fcc98a58ba3bea7:problem-solving-and-data-analysis-harder/x0fcc98a58ba3bea7:unit-conversion-harder/a/v2-sat-lesson-unit-conversion and https://www.khanacademy.org/math/cc-fifth-grade-math/imp-measurement-and-data-3/imp-unit-conversion/e/converting-units, 2) Purple Math: https://www.purplemath.com/modules/units2.htm and https://www.purplemath.com/modules/metric.htm and https://www.purplemath.com/modules/units.htm"
